0,0,0,0
0.851732,40.6613,0.851732,40.6613
3.40543,81.2512,3.40543,81.2512
7.65663,121.699,7.65663,121.699
13.5978,161.932,13.5978,161.932
21.2187,201.882,21.2187,201.882
30.5058,241.478,30.5058,241.478
41.4428,280.65,41.4428,280.65
54.0105,319.33,54.0105,319.33
68.187,357.449,68.187,357.449
83.9474,394.941,83.9474,394.941
101.264,431.741,101.264,431.741
120.106,467.783,120.106,467.783
140.441,503.004,140.441,503.004
162.233,537.343,162.233,537.343
185.444,570.739,185.444,570.739
210.034,603.134,210.034,603.134
235.958,634.471,235.958,634.471
263.171,664.695,263.171,664.695
291.627,693.753,291.627,693.753
321.274,721.594,321.274,721.594
352.061,748.168,352.061,748.168
383.934,773.431,383.934,773.431
416.837,797.336,416.837,797.336
450.712,819.842,450.712,819.842
485.5,840.911,485.5,840.911
521.14,860.504,521.14,860.504
557.568,878.587,557.568,878.587
594.722,895.129,594.722,895.129
632.537,910.101,632.537,910.101
670.944,923.476,670.944,923.476
709.879,935.231,709.879,935.231
749.271,945.345,749.271,945.345
789.053,953.801,789.053,953.801
829.153,960.583,829.153,960.583
869.503,965.681,869.503,965.681
910.03,969.084,910.03,969.084
950.665,970.787,950.665,970.787
991.335,970.787,991.335,970.787
1031.97,969.084,1031.97,969.084
1072.5,965.681,1072.5,965.681
1112.85,960.583,1112.85,960.583
1152.95,953.801,1152.95,953.801
1192.73,945.345,1192.73,945.345
1232.12,935.231,1232.12,935.231
1271.06,923.476,1271.06,923.476
1309.46,910.101,1309.46,910.101
1347.28,895.129,1347.28,895.129
1384.43,878.587,1384.43,878.587
1420.86,860.504,1420.86,860.504
1456.5,840.911,1456.5,840.911
1491.29,819.842,1491.29,819.842
1525.16,797.336,1525.16,797.336
1558.07,773.431,1558.07,773.431
1589.94,748.168,1589.94,748.168
1620.73,721.594,1620.73,721.594
1650.37,693.753,1650.37,693.753
1678.83,664.695,1678.83,664.695
1706.04,634.471,1706.04,634.471
1731.97,603.134,1731.97,603.134
1756.56,570.739,1756.56,570.739
1779.77,537.343,1779.77,537.343
1801.56,503.004,1801.56,503.004
1821.89,467.783,1821.89,467.783
1840.74,431.741,1840.74,431.741
1858.05,394.941,1858.05,394.941
1873.81,357.449,1873.81,357.449
1887.99,319.33,1887.99,319.33
1900.56,280.65,1900.56,280.65
1911.49,241.478,1911.49,241.478
1920.78,201.882,1920.78,201.882
1928.4,161.932,1928.4,161.932
1934.34,121.699,1934.34,121.699
1938.59,81.2512,1938.59,81.2512
1941.15,40.6613,1941.15,40.6613
1942,1.18913e-13,1942,1.18913e-13
1941.15,-40.6613,1941.15,-40.6613
1938.59,-81.2512,1938.59,-81.2512
1934.34,-121.699,1934.34,-121.699
1928.4,-161.932,1928.4,-161.932
1920.78,-201.882,1920.78,-201.882
1911.49,-241.478,1911.49,-241.478
1900.56,-280.65,1900.56,-280.65
1887.99,-319.33,1887.99,-319.33
1873.81,-357.449,1873.81,-357.449
1858.05,-394.941,1858.05,-394.941
1840.74,-431.741,1840.74,-431.741
1821.89,-467.783,1821.89,-467.783
1801.56,-503.004,1801.56,-503.004
1779.77,-537.343,1779.77,-537.343
1756.56,-570.739,1756.56,-570.739
1731.97,-603.134,1731.97,-603.134
1706.04,-634.471,1706.04,-634.471
1678.83,-664.695,1678.83,-664.695
1650.37,-693.753,1650.37,-693.753
1620.73,-721.594,1620.73,-721.594
1589.94,-748.168,1589.94,-748.168
1558.07,-773.431,1558.07,-773.431
1525.16,-797.336,1525.16,-797.336
1491.29,-819.842,1491.29,-819.842
1456.5,-840.911,1456.5,-840.911
1420.86,-860.504,1420.86,-860.504
1384.43,-878.587,1384.43,-878.587
1347.28,-895.129,1347.28,-895.129
1309.46,-910.101,1309.46,-910.101
1271.06,-923.476,1271.06,-923.476
1232.12,-935.231,1232.12,-935.231
1192.73,-945.345,1192.73,-945.345
1152.95,-953.801,1152.95,-953.801
1112.85,-960.583,1112.85,-960.583
1072.5,-965.681,1072.5,-965.681
1031.97,-969.084,1031.97,-969.084
991.335,-970.787,991.335,-970.787
950.665,-970.787,950.665,-970.787
910.03,-969.084,910.03,-969.084
869.503,-965.681,869.503,-965.681
829.153,-960.583,829.153,-960.583
789.053,-953.801,789.053,-953.801
749.271,-945.345,749.271,-945.345
709.879,-935.231,709.879,-935.231
670.944,-923.476,670.944,-923.476
632.537,-910.101,632.537,-910.101
594.722,-895.129,594.722,-895.129
557.568,-878.587,557.568,-878.587
521.14,-860.504,521.14,-860.504
485.5,-840.911,485.5,-840.911
450.712,-819.842,450.712,-819.842
416.837,-797.336,416.837,-797.336
383.934,-773.431,383.934,-773.431
352.061,-748.168,352.061,-748.168
321.274,-721.594,321.274,-721.594
291.627,-693.753,291.627,-693.753
263.171,-664.695,263.171,-664.695
235.958,-634.471,235.958,-634.471
210.034,-603.134,210.034,-603.134
185.444,-570.739,185.444,-570.739
162.233,-537.343,162.233,-537.343
140.441,-503.004,140.441,-503.004
120.106,-467.783,120.106,-467.783
101.264,-431.741,101.264,-431.741
83.9474,-394.941,83.9474,-394.941
68.187,-357.449,68.187,-357.449
54.0105,-319.33,54.0105,-319.33
41.4428,-280.65,41.4428,-280.65
30.5058,-241.478,30.5058,-241.478
21.2187,-201.882,21.2187,-201.882
13.5978,-161.932,13.5978,-161.932
7.65663,-121.699,7.65663,-121.699
3.40543,-81.2512,3.40543,-81.2512
0.851732,-40.6613,0.851732,-40.6613
0,-2.37826e-13,0,-2.37826e-13
